"id","Variable.Count","VPOPS.Mean","POPS.Count","PSS.Maximum","PSS.Mean","PSS.Standard.Deviation","VPOPS.Maximum","VPOPS.Standard.Deviation","Pattern.database.lower.bound.In.degree.Maximum","Pattern.database.lower.bound.In.degree.Mean","Pattern.database.lower.bound.In.degree.Standard.Deviation","Pattern.database.lower.bound.Leaf.Count","Pattern.database.lower.bound.NTC.Count","Pattern.database.lower.bound.NTC.Max","Pattern.database.lower.bound.NTC.Mean","Pattern.database.lower.bound.NTC.Standard.Deviation","Pattern.database.lower.bound.Out.degree.Maximum","Pattern.database.lower.bound.Out.degree.Mean","Pattern.database.lower.bound.Out.degree.Standard.Deviation","Pattern.database.lower.bound.Root.Count","Pattern.database.lower.bound.Total.Degree.Maximum","Pattern.database.lower.bound.Total.Degree.Mean","Pattern.database.lower.bound.Total.Degree.Standard.Deviation","Simple.lower.bound.In.degree.Maximum","Simple.lower.bound.In.degree.Mean","Simple.lower.bound.In.degree.Standard.Deviation","Simple.lower.bound.Leaf.Count","Simple.lower.bound.NTC.Count","Simple.lower.bound.NTC.Max","Simple.lower.bound.NTC.Mean","Simple.lower.bound.NTC.Standard.Deviation","Simple.lower.bound.Out.degree.Maximum","Simple.lower.bound.Out.degree.Mean","Simple.lower.bound.Out.degree.Standard.Deviation","Simple.lower.bound.Root.Count","Simple.lower.bound.Total.Degree.Maximum","Simple.lower.bound.Total.Degree.Mean","Simple.lower.bound.Total.Degree.Standard.Deviation","Greedy.hill.climbing.Error.bound","Greedy.hill.climbing.In.degree.Maximum","Greedy.hill.climbing.In.degree.Mean","Greedy.hill.climbing.In.degree.Standard.Deviation","Greedy.hill.climbing.Leaf.Count","Greedy.hill.climbing.Out.degree.Maximum","Greedy.hill.climbing.Out.degree.Mean","Greedy.hill.climbing.Out.degree.Standard.Deviation","Greedy.hill.climbing.Root.Count","Greedy.hill.climbing.Total.Degree.Maximum","Greedy.hill.climbing.Total.Degree.Mean","Greedy.hill.climbing.Total.Degree.Standard.Deviation","Anytime.window.A..Error.bound","Anytime.window.A..In.degree.Maximum","Anytime.window.A..In.degree.Mean","Anytime.window.A..In.degree.Standard.Deviation","Anytime.window.A..Leaf.Count","Anytime.window.A..Out.degree.Maximum","Anytime.window.A..Out.degree.Mean","Anytime.window.A..Out.degree.Standard.Deviation","Anytime.window.A..Root.Count","Anytime.window.A..Total.Degree.Maximum","Anytime.window.A..Total.Degree.Mean","Anytime.window.A..Total.Degree.Standard.Deviation","GOBNILP.Error.bound","GOBNILP.In.degree.Maximum","GOBNILP.In.degree.Mean","GOBNILP.In.degree.Standard.Deviation","GOBNILP.Leaf.Count","GOBNILP.Out.degree.Maximum","GOBNILP.Out.degree.Mean","GOBNILP.Out.degree.Standard.Deviation","GOBNILP.Root.Count","GOBNILP.Total.Degree.Maximum","GOBNILP.Total.Degree.Mean","GOBNILP.Total.Degree.Standard.Deviation","CPBayes.Error.bound","CPBayes.In.degree.Maximum","CPBayes.In.degree.Mean","CPBayes.In.degree.Standard.Deviation","CPBayes.Leaf.Count","CPBayes.Out.degree.Maximum","CPBayes.Out.degree.Mean","CPBayes.Out.degree.Standard.Deviation","CPBayes.Root.Count","CPBayes.Total.Degree.Maximum","CPBayes.Total.Degree.Mean","CPBayes.Total.Degree.Standard.Deviation","basic","basic_extended","lower_bounding","greedy_probing","A._probing","ILP_probing","CP_probing","Class"
"synth-1533-58-5-2-0.5-0-1786_bdeu-0.1-4",58,59.29,3439,4,2.68,1,271,65.35,4,2.91,1.42,14,2,40,21,26.87,11,2.91,2.69,7,15,5.83,3.7,4,2.97,1.41,12,4,36,11.25,16.56,10,2.97,2.7,7,14,5.93,3.72,14.16,4,2.16,1.53,18,9,2.16,2.27,11,10,4.31,2.79,13.95,4,2.02,1.64,19,11,2.02,2.4,16,12,4.03,2.97,2.79,4,1.93,1.58,23,7,1.93,2.22,16,10,3.86,2.62,-1,4,2.97,1.41,12,10,2.97,2.7,7,14,5.93,3.72,0,0,0,5,5,6,6,"ilp.141"
"synth-1534-40-8-2-0.5-0-237_bdeu-10-2",40,47.57,1903,2,1.75,0.48,136,27.06,2,1.95,0.32,8,8,13,3.75,3.77,6,1.95,1.58,1,8,3.9,1.68,2,1.95,0.32,5,14,4,2.5,0.65,6,1.95,1.41,1,8,3.9,1.52,9.28,2,1.85,0.53,11,7,1.85,1.79,3,7,3.7,1.68,7.28,2,1.82,0.5,12,6,1.82,1.63,2,8,3.65,1.7,1.59,2,1.78,0.58,12,8,1.78,1.72,3,9,3.55,1.71,1.3,2,1.82,0.5,12,7,1.82,1.75,2,8,3.65,1.66,0,0,0,3,5,5,6,"ilp.162"
"synth-1536-37-6-2-0.5-0-428_bic-2",37,59.78,2212,2,1.77,0.46,171,41.28,2,1.84,0.44,6,5,15,5,5.66,5,1.84,1.55,1,7,3.68,1.75,2,1.81,0.46,7,9,6,2.89,1.36,5,1.81,1.49,1,7,3.62,1.67,11.28,2,1.73,0.61,9,5,1.73,1.64,3,7,3.46,1.69,8.49,2,1.62,0.59,13,6,1.62,1.72,2,7,3.24,1.86,0.26,2,1.68,0.58,15,8,1.68,2.01,2,8,3.35,2.03,4.3,2,1.68,0.63,14,7,1.68,1.89,3,9,3.35,1.92,0,0,0,3,5,5,6,"ilp.141"
"synth-1537-22-5-2-0.5-0-244_bic-3",22,47.59,1047,3,2.19,0.75,202,52.47,3,1.95,1,6,5,4,2.6,0.89,8,1.95,2.26,2,9,3.91,2.41,3,2,0.93,5,7,3,2.29,0.49,9,2,2.2,1,10,4,2.33,11.46,3,1.5,1.14,8,6,1.5,1.79,6,8,3,2.12,2.56,3,1.5,1.1,8,6,1.5,1.77,5,8,3,1.93,0.08,3,1.5,1.1,8,6,1.5,1.77,5,8,3,1.93,0.4,3,1.45,1.06,9,6,1.45,1.77,5,8,2.91,1.8,0,0,0,0,5,3,6,"cpbayes"
"synth-1538-39-7-2-0.5-0-7489_bdeu-1-3",39,981.56,38281,3,2.8,0.45,2800,755.67,3,2.74,0.82,6,8,15,4,4.5,10,2.74,2.23,3,13,5.49,2.65,3,2.74,0.82,7,5,19,6.2,7.19,10,2.74,2.23,3,13,5.49,2.64,15.48,3,2.51,1,11,10,2.51,2.55,4,11,5.03,2.65,13.44,3,2.41,1.07,9,9,2.41,2.46,5,11,4.82,2.69,4.44,3,2.44,1.07,11,13,2.44,3.06,5,14,4.87,3.05,2.4,3,2.49,1.05,10,9,2.49,2.52,5,10,4.97,2.6,0,0,0,5,5,6,6,"astar.comp"
"synth-1539-58-6-2-0.5-0-857_bdeu-1-4",58,91.91,5331,4,2.73,0.94,818,130.23,4,3.52,0.8,5,2,50,26,33.94,12,3.52,2.53,0,16,7.03,2.81,4,3.6,0.77,6,2,50,26,33.94,13,3.6,2.65,0,17,7.21,2.98,15.68,4,2.71,1.11,13,14,2.71,2.62,2,17,5.41,2.73,15.96,4,2.41,1.49,12,9,2.41,2.08,11,10,4.83,2.23,4.73,4,2.53,1.25,17,14,2.53,2.93,3,15,5.07,2.68,-1,4,3.6,0.77,6,13,3.6,2.65,0,17,7.21,2.98,0,0,0,5,6,5,6,"ilp.162.nc"
"synth-1541-34-4-2-0.5-0-958_bic-5",34,74,2516,4,2.61,0.9,433,99.15,4,2.38,1.21,6,2,24,13,15.56,8,2.38,1.97,3,11,4.76,2.81,4,2.65,1.25,4,2,28,15,18.38,7,2.65,2,2,11,5.29,3,17.53,4,1.68,1.15,9,7,1.68,1.68,6,8,3.35,2.01,17.73,4,1.53,1.24,11,4,1.53,1.5,8,6,3.06,1.86,0.64,4,1.53,1.11,13,8,1.53,1.8,6,9,3.06,1.95,-1,4,2.65,1.25,4,7,2.65,2,2,11,5.29,3,0,0,0,2,5,5,6,"ilp.162"
"synth-1542-37-7-2-0.5-0-2023_bic-4",37,599.89,22196,4,3.4,0.74,2663,720.38,4,2.78,1.38,6,5,19,5.4,7.6,12,2.78,2.81,2,16,5.57,3.75,4,2.81,1.33,6,5,21,6,8.4,11,2.81,2.87,1,15,5.62,3.69,14.81,4,2.3,1.39,9,12,2.3,2.85,4,14,4.59,3.35,12.39,4,2.03,1.42,7,8,2.03,2.19,6,11,4.05,2.62,4.31,4,2,1.39,11,8,2,2.29,6,10,4,2.73,-1,4,2.81,1.33,6,11,2.81,2.87,1,15,5.62,3.69,0,0,0,4,5,5,6,"ilp.162.nc"
"synth-1543-44-7-2-0.5-0-1099_bdeu-100-2",44,159,6996,2,1.89,0.33,337,87.17,2,2,0,12,6,12,4.5,4.18,8,2,2,0,10,4,2,2,2,0,15,11,3,2.36,0.5,8,2,2.15,0,10,4,2.15,5.71,2,1.93,0.33,15,6,1.93,1.98,1,8,3.86,1.88,6.04,2,1.89,0.44,13,7,1.89,1.94,2,9,3.77,1.87,0.82,2,1.93,0.33,18,9,1.93,2.48,1,11,3.86,2.34,0.4,2,1.91,0.42,14,7,1.91,2.08,2,8,3.82,1.91,0,0,0,4,5,5,6,"cpbayes"
"synth-1545-35-6-2-0.5-0-347_bdeu-1-2",35,33.34,1167,2,1.71,0.52,114,28.18,2,1.71,0.52,8,9,9,2.78,2.33,6,1.71,1.56,1,8,3.43,1.8,2,1.71,0.52,8,11,3,2.27,0.47,7,1.71,1.6,1,9,3.43,1.84,17.36,2,1.46,0.78,9,5,1.46,1.36,6,7,2.91,1.7,15.05,2,1.46,0.74,10,7,1.46,1.46,5,8,2.91,1.72,1.07,2,1.4,0.69,11,6,1.4,1.48,4,7,2.8,1.51,1.9,2,1.57,0.61,8,6,1.57,1.46,2,7,3.14,1.44,0,0,0,2,5,5,6,"ilp.162"
"synth-1546-22-3-2-0.5-0-1711_bdeu-10-4",22,137.77,3031,4,3.06,0.9,369,128.28,4,2.77,1.02,4,1,17,17,0,6,2.77,1.97,1,10,5.55,2.61,4,3.32,0.99,1,1,21,21,0,7,3.32,1.99,1,11,6.64,2.7,12.2,4,2.27,1.2,3,7,2.27,2,3,8,4.55,2.04,10.17,3,1.82,1.26,4,4,1.82,1.22,6,6,3.64,1.4,0.53,3,1.91,1.11,5,5,1.91,1.57,4,7,3.82,1.62,0,3,1.91,1.27,5,4,1.91,1.41,6,6,3.82,1.47,0,0,0,1,5,5,6,"cpbayes"
"synth-1547-37-8-2-0.5-0-2626_bdeu-10-3",37,399.43,14779,3,2.72,0.53,1192,358.63,3,2.81,0.57,9,3,18,8.67,8.33,9,2.81,2.61,1,12,5.62,2.86,3,2.81,0.57,10,3,19,8.33,9.29,9,2.81,2.56,1,12,5.62,2.81,14.75,3,2.54,0.87,10,9,2.54,2.41,2,12,5.08,2.47,13.92,3,2.24,1.09,14,8,2.24,2.44,5,9,4.49,2.84,2.61,3,2.51,0.84,13,9,2.51,2.86,2,12,5.03,2.86,2.6,3,2.57,0.9,13,8,2.57,2.57,3,11,5.14,2.56,0,0,0,4,5,5,6,"ilp.141"
"synth-1548-25-3-2-0.5-0-329_bdeu-10-2",25,33.24,831,2,1.74,0.5,93,28.52,2,1.96,0.2,7,3,8,4.33,3.21,8,1.96,2.07,0,10,3.92,2.12,2,1.88,0.33,6,5,10,3.6,3.58,7,1.88,1.81,0,9,3.76,1.83,8.28,2,1.6,0.76,9,8,1.6,1.94,4,10,3.2,2.1,7.14,2,1.6,0.71,7,7,1.6,1.73,3,9,3.2,1.83,0.17,2,1.68,0.63,8,7,1.68,1.99,2,9,3.36,1.93,0.7,2,1.8,0.5,6,7,1.8,1.91,1,9,3.6,1.76,0,0,0,1,5,5,6,"cpbayes"
"synth-1549-36-2-2-0.5-0-312_bdeu-0.1-5",36,20.03,721,5,1.77,0.72,351,58.01,5,1.5,1.08,10,4,12,5.25,4.72,5,1.5,1.38,7,7,3,2.08,5,1.69,1.12,9,5,13,5,4.64,6,1.69,1.45,5,9,3.39,2.31,12.93,3,0.97,0.81,16,4,0.97,1.16,11,6,1.94,1.55,12,2,0.94,0.79,17,3,0.94,1.09,12,5,1.89,1.37,0,3,1.03,0.84,15,4,1.03,1.13,11,5,2.06,1.39,0.1,3,1.03,0.84,16,5,1.03,1.23,11,5,2.06,1.39,0,0,0,1,5,0,5,"ilp.141"
"synth-1550-34-2-2-0.5-0-268_bdeu-10-2",34,23.24,790,2,1.67,0.55,58,15.02,2,1.88,0.48,7,2,22,12,14.14,6,1.88,1.53,2,8,3.76,1.74,2,1.88,0.48,7,8,7,3.25,2.05,8,1.88,1.67,2,10,3.76,1.86,9.28,2,1.62,0.7,10,7,1.62,1.72,4,8,3.24,1.71,9.4,2,1.41,0.78,10,5,1.41,1.37,6,6,2.82,1.51,0.43,2,1.62,0.7,11,8,1.62,1.88,4,9,3.24,1.81,1.8,2,1.71,0.68,12,8,1.71,1.85,4,8,3.41,1.79,0,0,0,1,5,5,6,"ilp.162"
"synth-1551-22-7-2-0.5-0-267_bdeu-10-3",22,215.36,4738,3,2.61,0.6,432,122.81,3,2.91,0.29,4,2,11,6.5,6.36,7,2.91,2.24,0,10,5.82,2.36,3,2.91,0.29,3,1,19,19,0,7,2.91,1.8,0,10,5.82,1.89,8.16,3,2.5,0.86,4,7,2.5,2.04,1,8,5,1.95,0,3,2.45,0.96,4,6,2.45,1.79,2,8,4.91,1.63,2.34,3,2.45,0.86,7,7,2.45,2.36,1,9,4.91,2.09,0.3,3,2.5,0.86,4,6,2.5,1.87,1,8,5,1.63,0,0,0,1,0,5,4,"astar.ec"
"synth-1553-21-4-2-0.5-0-1539_bdeu-100-2",21,85.38,1793,2,1.84,0.39,153,39.89,2,2,0,6,1,12,12,0,8,2,2.05,0,10,4,2.05,2,2,0,5,4,4,3,0.82,8,2,2.07,0,10,4,2.07,8.35,2,1.86,0.48,7,8,1.86,2.1,1,10,3.71,2.03,4.45,2,1.86,0.48,5,7,1.86,1.82,1,9,3.71,1.82,0.17,2,1.81,0.51,7,8,1.81,2.11,1,10,3.62,2.11,0.3,2,1.86,0.48,7,8,1.86,2.29,1,10,3.71,2.08,0,0,0,1,5,5,5,"cpbayes"
"synth-1555-26-7-2-0.5-0-1601_bdeu-0.1-4",26,157.46,4094,4,3,0.89,757,179.4,4,3.15,1.38,6,1,20,20,0,9,3.15,2.66,3,12,6.31,3.43,4,3.31,1.38,5,2,19,10.5,12.02,11,3.31,2.96,3,15,6.62,3.82,11.36,4,2.46,1.7,8,9,2.46,2.64,6,11,4.92,2.83,9.84,4,2.42,1.65,9,10,2.42,2.76,6,10,4.85,2.99,1.9,4,2.38,1.6,9,9,2.38,2.53,5,10,4.77,2.8,1.2,4,2.42,1.63,9,9,2.42,2.77,6,10,4.85,2.94,0,0,0,5,5,5,5,"cpbayes"
"synth-1556-26-3-2-0.5-0-238_bdeu-0.1-3",26,13.77,358,3,1.76,0.87,62,14.85,3,1.92,0.84,6,2,13,8,7.07,7,1.92,1.76,0,10,3.85,2.26,3,2.19,0.85,4,3,16,7,7.81,6,2.19,1.63,0,9,4.38,2.23,10.53,3,1.19,1.1,9,4,1.19,1.2,9,5,2.38,1.36,8.8,3,1.35,1.13,10,4,1.35,1.38,8,6,2.69,1.49,0,3,1.35,0.94,8,4,1.35,1.23,5,5,2.69,1.26,0.8,3,1.35,0.94,9,4,1.35,1.26,5,5,2.69,1.26,0,0,0,1,5,0,6,"ilp.141"
"synth-1557-47-8-2-0.5-0-960_bdeu-0.1-4",47,66.89,3144,4,2.44,0.88,294,71.54,4,3.13,1.01,4,7,26,5.57,9.02,13,3.13,2.79,0,16,6.26,3.05,4,3.26,0.9,4,4,35,10.25,16.5,14,3.26,2.76,0,18,6.51,3.11,14.66,4,2.45,1.18,12,9,2.45,2.48,2,12,4.89,2.6,14.59,4,2.28,1.35,13,10,2.28,2.57,5,13,4.55,2.83,0.82,4,2.38,1.31,14,9,2.38,2.67,4,12,4.77,2.73,-1,4,3.26,0.9,4,14,3.26,2.76,0,18,6.51,3.11,0,0,0,4,5,5,6,"ilp.162"
"synth-1559-29-6-2-0.5-0-293_bdeu-10-4",29,86.24,2501,4,2.93,0.94,302,70.46,4,3.24,0.91,5,2,20,11,12.73,10,3.24,2.89,1,13,6.48,3.16,4,3.41,0.91,4,1,25,25,0,9,3.41,2.46,1,13,6.83,2.95,11,4,2.66,1.29,6,10,2.66,2.79,4,10,5.31,2.48,6.35,4,2.52,1.45,6,8,2.52,2.35,5,10,5.03,2.13,1.21,4,2.69,1.31,9,10,2.69,3.01,3,12,5.38,2.53,2.6,4,2.55,1.3,8,8,2.55,2.56,4,10,5.1,2.09,0,0,0,2,5,5,6,"ilp.162"
"synth-1562-26-4-2-0.5-0-1202_bdeu-10-3",26,70.38,1830,3,2.42,0.73,244,69.56,3,2.35,1.06,5,2,17,10,9.9,10,2.35,2.23,2,13,4.69,2.9,3,2.42,0.95,5,5,6,4,1.58,11,2.42,2.28,1,14,4.85,2.89,11.47,3,1.92,1.2,8,7,1.92,2.13,5,9,3.85,2.59,10.38,3,1.73,1.12,7,7,1.73,1.91,5,9,3.46,2.28,0.36,3,1.77,1.21,9,7,1.77,2.08,5,10,3.54,2.39,1,3,1.77,1.14,9,8,1.77,2.12,4,10,3.54,2.4,0,0,0,2,5,5,6,"ilp.162"
"synth-1563-21-3-2-0.5-0-5552_bdeu-1-2",21,46.71,981,2,1.8,0.45,109,33.87,2,1.71,0.64,8,3,5,3,1.73,6,1.71,2.03,2,8,3.43,2.27,2,1.76,0.62,7,2,9,5.5,4.95,6,1.76,1.89,2,8,3.52,2.2,10.23,2,1.29,0.9,9,5,1.29,1.55,6,7,2.57,1.96,0,2,1.48,0.81,8,7,1.48,1.78,4,7,2.95,1.83,0.14,2,1.48,0.81,8,7,1.48,1.78,4,7,2.95,1.83,0,2,1.48,0.81,8,7,1.48,1.78,4,7,2.95,1.83,0,0,0,0,2,2,6,"cpbayes"
"synth-1564-54-8-2-0.5-0-159_bic-5",54,15.15,818,4,1.9,0.87,68,16.83,4,2.22,0.9,13,6,21,5.17,7.76,8,2.22,2.25,1,11,4.44,2.75,4,2.22,0.9,13,12,8,2.92,1.73,8,2.22,2.22,1,10,4.44,2.67,8.61,4,1.39,1,19,6,1.39,1.52,10,8,2.78,2.12,8.02,4,1.41,1.11,17,5,1.41,1.46,14,7,2.81,1.87,0.83,4,1.78,1.06,18,9,1.78,2.03,7,9,3.56,2.34,2,4,1.85,1.05,18,8,1.85,2.16,5,9,3.7,2.33,0,0,0,3,5,5,6,"ilp.162"
"synth-1565-26-8-2-0.5-0-703_bdeu-1-5",26,78.35,2037,5,2.78,1.06,262,69.35,5,3.42,0.9,1,1,25,25,0,11,3.42,2.61,0,15,6.85,3.08,5,3.58,0.99,0,2,24,13,15.56,9,3.58,2.21,0,14,7.15,2.95,19.36,5,2.85,1.26,2,9,2.85,2.44,2,11,5.69,2.07,9.28,5,2.65,1.32,3,8,2.65,2.13,1,10,5.31,2.2,0.98,5,2.62,1.3,5,10,2.62,2.64,2,11,5.23,2.42,0.5,5,2.65,1.41,4,8,2.65,2.4,3,10,5.31,2.26,0,0,0,1,5,5,6,"cpbayes"
"synth-1566-26-2-2-0.5-0-1082_bdeu-0.1-5",26,5.58,145,4,1.3,0.8,56,10.7,2,0.92,0.69,9,5,2,2,0,3,0.92,0.84,7,5,1.85,1.26,4,1.23,0.99,6,7,7,2.86,1.86,4,1.23,1.03,5,8,2.46,2,4.34,2,0.77,0.76,10,3,0.77,0.76,11,4,1.54,1.14,4.29,2,0.69,0.74,11,2,0.69,0.68,12,4,1.38,0.98,0,2,0.69,0.74,12,2,0.69,0.74,12,4,1.38,0.98,0,2,0.69,0.74,13,2,0.69,0.79,12,4,1.38,0.98,0,0,0,0,5,0,4,"ilp.141"
"synth-1567-41-3-2-0.5-0-730_bdeu-0.1-5",41,68.44,2806,5,2.73,1.12,389,97.85,5,2.63,1.3,7,4,25,7.75,11.5,7,2.63,2.3,5,11,5.27,3.23,5,2.9,1.43,5,2,33,17.5,21.92,7,2.9,2.28,5,12,5.8,3.35,20.87,5,1.78,1.35,9,6,1.78,1.71,9,7,3.56,1.86,20.5,4,1.66,1.26,10,6,1.66,1.64,12,9,3.32,2.07,0.78,3,1.61,1.2,14,7,1.61,1.74,11,7,3.22,1.85,-1,5,2.9,1.43,5,7,2.9,2.28,5,12,5.8,3.35,0,0,0,4,6,5,6,"ilp.141"
"synth-1568-52-7-2-0.5-0-106_bdeu-100-2",52,303.21,15767,2,1.92,0.28,662,118.54,2,2,0,13,12,7,2.83,1.47,9,2,1.78,0,11,4,1.78,2,2,0,12,13,4,2.77,0.83,9,2,1.81,0,11,4,1.81,3.11,2,1.92,0.39,14,13,1.92,2.15,2,15,3.85,2.13,1.76,2,1.94,0.31,13,8,1.94,1.94,1,10,3.88,1.88,0.87,2,1.94,0.31,18,8,1.94,2.08,1,10,3.88,2.04,0.8,2,1.94,0.31,16,12,1.94,2.15,1,12,3.88,1.96,0,0,0,5,6,5,6,"ilp.162.nc"
"synth-1570-40-3-2-0.5-0-188_bdeu-1-4",40,31.92,1277,4,2.52,1.09,118,28.5,4,2.5,1.13,6,5,23,6.2,9.39,9,2.5,2.24,2,12,5,2.96,4,2.68,1.16,4,4,26,8.75,11.59,10,2.68,2.45,2,14,5.35,3.29,19.01,4,1.68,1.25,9,6,1.68,1.49,9,7,3.35,1.83,18.48,4,1.82,1.45,10,7,1.83,1.78,12,7,3.65,1.94,0.51,4,1.72,1.34,11,6,1.72,1.66,9,6,3.45,1.66,2.7,4,1.87,1.24,10,6,1.88,1.73,7,8,3.75,1.84,0,0,0,3,5,5,6,"ilp.162.nc"
"synth-1571-53-7-2-0.5-0-593_bdeu-0.1-3",53,38.32,2031,3,2.18,0.79,265,52.34,3,2.28,1.03,12,4,28,8.75,12.84,11,2.28,2.25,6,14,4.57,2.92,3,2.32,0.98,9,5,35,8.6,14.76,10,2.32,2.13,5,13,4.64,2.77,11.45,3,1.77,1.05,19,8,1.77,2.1,10,10,3.55,2.54,10.03,3,1.58,1.17,18,6,1.58,1.71,13,9,3.17,2.08,0.73,3,1.72,1.15,19,7,1.72,1.95,12,9,3.43,2.34,-1,3,2.32,0.98,9,10,2.32,2.13,5,13,4.64,2.77,0,0,0,3,5,5,6,"ilp.162"
"synth-1572-46-5-2-0.5-0-1236_bdeu-0.1-2",46,45.35,2086,2,1.76,0.47,152,38.13,2,1.78,0.47,12,7,11,4,3.27,6,1.78,1.63,1,8,3.57,1.86,2,1.78,0.47,13,13,4,2.46,0.66,6,1.78,1.63,1,8,3.57,1.83,11.97,2,1.67,0.56,13,8,1.67,1.81,2,9,3.35,1.9,12.79,2,1.39,0.8,18,10,1.39,1.81,9,12,2.78,2.1,1.42,2,1.61,0.61,16,7,1.61,1.87,3,9,3.22,1.91,2.9,2,1.65,0.6,15,8,1.65,1.93,3,10,3.3,2.09,0,0,0,4,5,5,6,"ilp.162"
"synth-1573-37-5-2-0.5-0-988_bdeu-0.1-3",37,62.32,2306,3,2.3,0.75,196,53.58,3,2.51,0.93,11,3,19,7.67,9.81,10,2.51,2.48,3,13,5.03,2.98,3,2.54,0.93,5,3,27,10.67,14.15,8,2.54,2.04,3,11,5.08,2.58,12.87,3,2.08,1.09,13,7,2.08,2.18,5,9,4.16,2.27,10.33,3,2.05,1.08,13,8,2.05,2.19,5,10,4.11,2.35,0.67,3,2.11,1.07,12,8,2.11,2.22,5,11,4.22,2.43,-1,3,2.54,0.93,5,8,2.54,2.04,3,11,5.08,2.58,0,0,0,3,5,5,6,"ilp.162.nc"
"synth-1574-59-8-2-0.5-0-2976_bdeu-100-2",59,353.41,20851,2,1.93,0.27,817,222.33,2,2,0,8,15,4,2.53,0.64,6,2,1.51,0,8,4,1.51,2,2,0,6,14,10,3.21,2.04,5,2,1.38,0,7,4,1.38,11.14,2,1.9,0.44,11,7,1.9,1.59,3,9,3.8,1.54,10.46,2,1.86,0.43,12,7,1.86,1.63,2,9,3.73,1.62,1.53,2,1.95,0.29,16,8,1.95,2.04,1,10,3.9,1.97,1.3,2,1.95,0.29,11,6,1.95,1.62,1,8,3.9,1.57,0,0,0,5,5,5,6,"ilp.141"
"synth-1575-22-7-2-0.5-0-365_bdeu-1-5",22,118.68,2611,5,2.83,1,309,103.56,5,3,1.41,2,2,16,9,9.9,8,3,2.23,1,13,6,3.16,5,3.41,1.26,1,2,16,10,8.49,10,3.41,2.4,0,15,6.82,3.33,17.56,5,2.36,1.4,5,7,2.36,2.11,3,8,4.73,2.35,4.51,5,2.41,1.37,4,7,2.41,2.22,3,9,4.82,2.13,0.89,5,2.36,1.36,3,7,2.36,2.19,3,8,4.73,2.16,3.1,5,2.45,1.37,4,7,2.45,2.15,2,8,4.91,2.11,0,0,0,1,5,5,6,"astar.ed3"
"synth-1576-50-3-2-0.5-0-3433_bic-3",50,145.72,7286,3,2.54,0.65,694,192.66,3,2,1.16,11,5,24,6.8,9.63,8,2,2.01,8,11,4,2.88,3,2.02,1.17,9,4,31,10.25,13.89,9,2.02,1.9,8,12,4.04,2.8,14.02,3,1.7,1.13,18,9,1.7,2.38,10,11,3.4,2.82,13.82,3,1.34,1.19,21,5,1.34,1.57,17,7,2.68,2.14,0.54,3,1.36,1.06,22,6,1.36,1.74,13,8,2.72,2.16,-1,3,2.02,1.17,9,9,2.02,1.9,8,12,4.04,2.8,0,0,0,5,5,5,6,"ilp.162"
"synth-1577-56-2-2-0.5-0-199_bic-2",56,4.7,263,2,1.07,0.7,17,3.74,2,1.14,0.67,25,9,7,2.78,1.64,4,1.14,1.29,9,6,2.29,1.76,2,1.18,0.69,21,13,7,2.46,1.39,4,1.18,1.21,9,6,2.36,1.74,6.1,2,0.95,0.62,24,3,0.95,0.98,12,5,1.89,1.3,6.11,2,0.86,0.67,24,3,0.86,0.86,17,4,1.71,1.23,0,2,0.93,0.63,25,3,0.93,0.99,13,5,1.86,1.3,0.6,2,0.91,0.67,26,3,0.91,1.01,15,5,1.82,1.31,0,0,0,2,5,0,6,"ilp.141"
"synth-1578-33-6-2-0.5-0-270_bdeu-100-4",33,4621,152493,4,3.7,0.55,9813,2771.29,4,4,0,3,2,25,13.5,16.26,21,4,3.86,0,25,8,3.86,4,4,0,2,3,25,10,13,16,4,3.21,0,20,8,3.21,16.89,4,3.61,1.03,6,16,3.61,3.39,1,17,7.21,2.8,15.15,4,3.58,1.06,5,18,3.58,3.95,1,19,7.15,3.42,-1,4,4,0,2,16,4,3.21,0,20,8,3.21,-1,4,4,0,2,16,4,3.21,0,20,8,3.21,0,0,0,5,5,8,6,"cpbayes"
"synth-1579-42-4-2-0.5-0-286_bdeu-10-4",42,197.83,8309,4,2.97,0.88,683,191.96,4,3.6,0.7,3,1,38,38,0,11,3.6,2.37,0,15,7.19,2.75,4,3.64,0.69,2,2,34,19.5,20.51,11,3.64,2.48,0,15,7.29,2.84,18.84,4,2.88,1.15,5,12,2.88,2.65,2,13,5.76,2.72,17.87,4,2.76,1.28,8,13,2.76,2.63,3,14,5.52,2.48,1.71,4,2.64,1.14,7,10,2.64,2.53,3,13,5.29,2.49,-1,4,3.64,0.69,2,11,3.64,2.48,0,15,7.29,2.84,0,0,0,4,5,5,6,"ilp.141.nc"
"synth-1580-53-5-2-0.5-0-2092_bdeu-0.1-4",53,203.19,10769,4,3.01,0.87,1657,302.21,4,3.13,1.16,12,4,33,10,15.34,11,3.13,2.87,3,14,6.26,3.46,4,3.23,1.09,12,3,36,13.67,19.35,12,3.23,2.97,2,16,6.45,3.59,19.54,4,2.47,1.41,14,10,2.47,2.68,6,11,4.94,2.91,21.55,4,2.04,1.51,15,12,2.04,2.3,12,12,4.08,2.64,2.09,4,2.19,1.49,18,12,2.19,2.51,9,12,4.38,2.71,-1,4,3.23,1.09,12,12,3.23,2.97,2,16,6.45,3.59,0,0,0,5,6,5,6,"ilp.162.nc"
